iter	Passed	Remaining
0	1	158
1	2	144
2	4	142
3	5	126
4	6	131
5	8	126
6	9	128
7	11	128
8	12	126
9	13	123
10	15	122
11	16	120
12	17	117
13	18	114
14	19	111
15	20	110
16	22	108
17	23	107
18	24	106
19	26	104
20	27	104
21	29	102
22	30	101
23	31	100
24	32	98
25	34	97
26	35	95
27	36	94
28	38	94
29	40	94
30	42	94
31	43	93
32	45	92
33	46	91
34	48	89
35	49	88
36	51	87
37	53	86
38	54	85
39	56	84
40	58	83
41	58	81
42	60	80
43	62	79
44	63	77
45	65	76
46	66	75
47	68	74
48	70	73
49	72	72
50	74	71
51	75	70
52	77	68
53	78	67
54	80	65
55	81	64
56	83	62
57	84	61
58	86	59
59	88	58
60	89	57
61	91	56
62	93	54
63	95	53
64	96	52
65	98	50
66	100	49
67	102	48
68	104	47
69	106	45
70	108	44
71	110	43
72	113	41
73	115	40
74	118	39
75	120	37
76	121	36
77	123	34
78	125	33
79	127	31
80	128	30
81	130	28
82	132	27
83	134	25
84	136	24
85	137	22
86	139	20
87	141	19
88	143	17
89	145	16
90	147	14
91	148	12
92	150	11
93	151	9
94	153	8
95	155	6
96	157	4
97	158	3
98	160	1
99	162	0
